site_year,exp_plot_number,block,plot,plot_id,N_level,biomass_plus_bag_g,paper_bag_g,num_of_paper_bags,sample_weight_mg,sample_N_ug,NDVI_1,NDVI_2,NDVI_3,NDVI_4,,,,,,
Farm Survey-15,001,25,a,1,175,275.0,45.0,1.0,4.902,135.90551814,0.82,n/a,n/a,n/a,,,,,,
Farm Survey-15,001,25,b,2,175,318.0,45.0,1.0,5.194,139.93216905,0.76,n/a,n/a,n/a,,,,,,
Farm Survey-15,002,25,a,3,175,379.0,45.0,1.0,4.691,119.72377128,0.84,n/a,n/a,n/a,,,,,,
Farm Survey-15,002,25,b,4,175,374.0,45.0,1.0,4.952,118.91152793,0.84,n/a,n/a,n/a,,,,,,
Farm Survey-15,003,25,a,5,175,334.0,45.0,1.0,4.675,148.76435064,0.85,n/a,n/a,n/a,,,,,,
Farm Survey-15,003,25,b,6,175,349.0,45.0,1.0,5.447,172.66726630,0.86,n/a,n/a,n/a,,,,,,
Farm Survey-15,004,25,a,7,175,350.0,45.0,1.0,4.883,140.73659752,0.84,n/a,n/a,n/a,,,,,,
Farm Survey-15,004,25,b,8,175,359.0,45.0,1.0,5.16,153.56657502,0.84,n/a,n/a,n/a,,,,,,
Farm Survey-15,005,25,a,9,175,328.0,45.0,1.0,4.931,165.52479574,0.85,n/a,n/a,n/a,,,,,,
Farm Survey-15,005,25,b,10,175,346.0,45.0,1.0,4.82,162.34254948,0.85,n/a,n/a,n/a,,,,,,
Farm Survey-15,006,25,a,11,175,263.0,45.0,1.0,4.641,127.02043573,0.78,n/a,n/a,n/a,,,,,,
Farm Survey-15,006,25,b,12,175,240.0,45.0,1.0,4.592,134.29275377,0.75,n/a,n/a,n/a,,,,,,
Farm Survey-15,007,25,a,13,175,314.0,45.0,1.0,5.485,159.95270878,0.74,n/a,n/a,n/a,,,,,,
Farm Survey-15,007,25,b,14,175,256.0,45.0,1.0,5.453,171.87486075,0.75,n/a,n/a,n/a,,,,,,
Farm Survey-15,008,25,a,15,175,350.0,45.0,1.0,4.924,94.40446080,0.82,n/a,n/a,n/a,,,,,,
Farm Survey-15,008,25,b,16,175,359.0,45.0,1.0,4.601,97.68769954,0.83,n/a,n/a,n/a,,,,,,
Farm Survey-15,009,25,a,17,175,311.0,45.0,1.0,5.27,135.90551814,0.84,n/a,n/a,n/a,,,,,,
Farm Survey-15,009,25,b,18,175,303.0,45.0,1.0,4.85,127.02043573,0.84,n/a,n/a,n/a,,,,,,
Farm Survey-15,010,25,a,19,175,281.0,45.0,1.0,4.706,119.72377128,0.83,n/a,n/a,n/a,,,,,,
Farm Survey-15,010,25,b,20,175,286.0,45.0,1.0,4.684,105.05740319,0.80,n/a,n/a,n/a,,,,,,
Farm Survey-15,011,25,a,21,175,299.0,45.0,1.0,4.965,93.58289968,0.72,n/a,n/a,n/a,,,,,,
Farm Survey-15,011,25,b,22,175,329.0,45.0,1.0,5.014,104.23974952,0.72,n/a,n/a,n/a,,,,,,
Farm Survey-15,012,25,a,23,175,280.0,45.0,1.0,5.037,100.14697258,0.71,n/a,n/a,n/a,,,,,,
Farm Survey-15,012,25,b,24,175,289.0,45.0,1.0,5.179,120.53571407,0.73,n/a,n/a,n/a,,,,,,
Farm Survey-15,013,25,a,25,175,221.0,45.0,1.0,5.442,105.87475628,0.48,n/a,n/a,n/a,,,,,,
Farm Survey-15,013,25,b,26,175,210.0,45.0,1.0,4.85,87.82355582,0.53,n/a,n/a,n/a,,,,,,
Farm Survey-15,014,25,a,27,175,210.0,45.0,1.0,5.346,105.05740319,0.54,n/a,n/a,n/a,,,,,,
Farm Survey-15,014,25,b,28,175,183.0,45.0,1.0,5.197,112.40276044,0.56,n/a,n/a,n/a,,,,,,
Farm Survey-15,015,25,a,29,175,401.0,45.0,1.0,5.208,110.77256284,0.81,n/a,n/a,n/a,,,,,,
Farm Survey-15,015,25,b,30,175,415.0,45.0,1.0,5.37,122.15869792,0.81,n/a,n/a,n/a,,,,,,
Farm Survey-15,016,25,a,31,175,406.0,45.0,1.0,4.698,117.28613949,0.80,n/a,n/a,n/a,,,,,,
Farm Survey-15,016,25,b,32,175,365.0,45.0,1.0,4.811,122.15869792,0.79,n/a,n/a,n/a,,,,,,
Farm Survey-15,017,25,a,33,175,192.0,45.0,1.0,4.98,74.60403587,0.30,n/a,n/a,n/a,,,,,,
Farm Survey-15,017,25,b,34,175,191.0,45.0,1.0,5.351,76.34348472,0.27,n/a,n/a,n/a,,,,,,
Farm Survey-15,018,25,a,35,175,247.0,45.0,1.0,5.122,126.21089752,0.78,n/a,n/a,n/a,,,,,,
Farm Survey-15,018,25,b,36,175,301.0,45.0,1.0,5.155,123.78047948,0.77,n/a,n/a,n/a,,,,,,
Farm Survey-15,019,25,a,37,175,329.0,45.0,1.0,4.526,115.65954876,0.83,n/a,n/a,n/a,,,,,,
Farm Survey-15,019,25,b,38,175,406.0,45.0,1.0,5.118,137.51708023,0.84,n/a,n/a,n/a,,,,,,
Farm Survey-15,020,25,a,39,175,328.0,45.0,1.0,4.629,131.06361815,0.82,n/a,n/a,n/a,,,,,,
Farm Survey-15,020,25,b,40,175,304.0,45.0,1.0,4.766,124.59091940,0.81,n/a,n/a,n/a,,,,,,
Farm Survey-15,021,25,a,41,175,116.0,45.0,1.0,4.815,50.86616519,0.19,n/a,n/a,n/a,,,,,,
Farm Survey-15,021,25,b,42,175,100.0,45.0,1.0,5.1,57.30362469,0.22,n/a,n/a,n/a,,,,,,
Farm Survey-15,022,25,a,43,175,240.0,45.0,1.0,5.243,77.91612961,0.49,n/a,n/a,n/a,,,,,,
Farm Survey-15,022,25,b,44,175,255.0,45.0,1.0,5.077,78.66068793,0.55,n/a,n/a,n/a,,,,,,
Farm Survey-15,023,25,a,45,175,387.0,45.0,1.0,5.213,75.34967626,0.71,n/a,n/a,n/a,,,,,,
Farm Survey-15,023,25,b,46,175,390.0,45.0,1.0,5.463,80.23173377,0.73,n/a,n/a,n/a,,,,,,
Farm Survey-15,024,25,a,47,175,338.0,45.0,1.0,4.756,74.18968601,0.64,n/a,n/a,n/a,,,,,,
Farm Survey-15,024,25,b,48,175,357.0,45.0,1.0,5.12,79.81840585,0.65,n/a,n/a,n/a,,,,,,
Farm Survey-15,025,25,a,49,175,322.0,45.0,1.0,5.103,88.64722094,0.58,n/a,n/a,n/a,,,,,,
Farm Survey-15,025,25,b,50,175,289.0,45.0,1.0,4.93,84.52588958,0.60,n/a,n/a,n/a,,,,,,
Farm Survey-15,026,25,a,51,175,301.0,45.0,1.0,5.106,90.29364948,0.54,n/a,n/a,n/a,,,,,,
Farm Survey-15,026,25,b,52,175,273.0,45.0,1.0,5.34,94.40446080,0.61,n/a,n/a,n/a,,,,,,
Farm Survey-15,027,25,a,53,175,287.0,45.0,1.0,5.308,64.97176820,0.31,n/a,n/a,n/a,,,,,,
Farm Survey-15,027,25,b,54,175,260.0,45.0,1.0,5.24,65.05497782,0.21,n/a,n/a,n/a,,,,,,
Farm Survey-15,028,25,a,55,175,287.0,45.0,1.0,5.488,80.31439033,0.58,n/a,n/a,n/a,,,,,,
Farm Survey-15,028,25,b,56,175,290.0,45.0,1.0,5.058,73.02910663,0.52,n/a,n/a,n/a,,,,,,
Farm Survey-15,029,25,a,57,175,594.0,45.0,1.0,4.953,96.86734071,0.80,n/a,n/a,n/a,,,,,,
Farm Survey-15,029,25,b,58,175,598.0,45.0,1.0,5.144,120.53571407,0.80,n/a,n/a,n/a,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,